,p,r,f,support
glossary.html#term-decision_function,0.5,0.2,0.28571428571428575,5
https://twitter.com/ogrisel,0.5,0.4,0.4444444444444445,5
modules/generated/sklearn.model_selection.gridsearchcv.html#sklearn.model_selection.gridsearchcv,0.5,0.4,0.4444444444444445,5
generated/sklearn.pipeline.pipeline.html#sklearn.pipeline.pipeline,0.6666666666666666,0.4,0.5,5
generated/sklearn.model_selection.gridsearchcv.html#sklearn.model_selection.gridsearchcv,0.42857142857142855,0.6,0.5,5
glossary.html#term-predict,1.0,0.4,0.5714285714285715,5
#term-fit,0.6,0.6,0.6,5
glossary.html#term-predict_proba,0.6,0.6,0.6,5
generated/sklearn.decomposition.pca.html#sklearn.decomposition.pca,0.75,0.6,0.6666666666666665,5
glossary.html#term-fit,0.75,0.6,0.6666666666666665,5
modules/generated/sklearn.decomposition.pca.html#sklearn.decomposition.pca,0.5714285714285714,0.8,0.6666666666666666,5
modules/generated/sklearn.linear_model.ridgecv.html#sklearn.linear_model.ridgecv,1.0,0.6,0.7499999999999999,5
modules/generated/sklearn.feature_selection.selectfrommodel.html#sklearn.feature_selection.selectfrommodel,1.0,0.6,0.7499999999999999,5
https://sites.google.com/site/peterprettenhofer/,0.625,1.0,0.7692307692307693,5
http://www.montefiore.ulg.ac.be/~glouppe/,0.8,0.8,0.8000000000000002,5
modules/generated/sklearn.pipeline.featureunion.html#sklearn.pipeline.featureunion,0.8,0.8,0.8000000000000002,5
modules/generated/sklearn.model_selection.randomizedsearchcv.html#sklearn.model_selection.randomizedsearchcv,0.8,0.8,0.8000000000000002,5
generated/sklearn.linear_model.sgdclassifier.html#sklearn.linear_model.sgdclassifier,0.8,0.8,0.8000000000000002,5
generated/sklearn.svm.linearsvc.html#sklearn.svm.linearsvc,0.7142857142857143,1.0,0.8333333333333333,5
https://gael-varoquaux.info,0.7142857142857143,1.0,0.8333333333333333,5
https://github.com/ogrisel,0.7142857142857143,1.0,0.8333333333333333,5
modules/generated/sklearn.compose.columntransformer.html#sklearn.compose.columntransformer,1.0,0.8,0.888888888888889,5
https://github.com/thomasjpfan,1.0,0.8,0.888888888888889,5
http://www.mblondel.org,1.0,0.8,0.888888888888889,5
modules/generated/sklearn.impute.simpleimputer.html#sklearn.impute.simpleimputer,1.0,0.8,0.888888888888889,5
modules/generated/sklearn.naive_bayes.gaussiannb.html#sklearn.naive_bayes.gaussiannb,1.0,0.8,0.888888888888889,5
classes.html#module-sklearn.metrics.pairwise,1.0,0.8,0.888888888888889,5
https://github.com/micky774,1.0,0.8,0.888888888888889,5
modules/generated/sklearn.ensemble.gradientboostingclassifier.html#sklearn.ensemble.gradientboostingclassifier,1.0,0.8,0.888888888888889,5
modules/generated/sklearn.feature_extraction.featurehasher.html#sklearn.feature_extraction.featurehasher,1.0,0.8,0.888888888888889,5
modules/generated/sklearn.ensemble.randomforestclassifier.html#sklearn.ensemble.randomforestclassifier,1.0,0.8,0.888888888888889,5
modules/generated/sklearn.discriminant_analysis.lineardiscriminantanalysis.html#sklearn.discriminant_analysis.lineardiscriminantanalysis,1.0,0.8,0.888888888888889,5
modules/generated/sklearn.impute.iterativeimputer.html#sklearn.impute.iterativeimputer,1.0,0.8,0.888888888888889,5
https://amueller.github.io/,0.8333333333333334,1.0,0.9090909090909091,5
modules/generated/sklearn.pipeline.pipeline.html#sklearn.pipeline.pipeline,0.8333333333333334,1.0,0.9090909090909091,5
https://github.com/qinhanmin2014,0.8333333333333334,1.0,0.9090909090909091,5
modules/generated/sklearn.linear_model.sgdclassifier.html#sklearn.linear_model.sgdclassifier,0.8333333333333334,1.0,0.9090909090909091,5
http://alexandre.gramfort.net,0.8333333333333334,1.0,0.9090909090909091,5
modules/generated/sklearn.preprocessing.onehotencoder.html#sklearn.preprocessing.onehotencoder,0.8333333333333334,1.0,0.9090909090909091,5
http://fa.bianp.net,0.8333333333333334,1.0,0.9090909090909091,5
modules/generated/sklearn.neighbors.localoutlierfactor.html#sklearn.neighbors.localoutlierfactor,0.8333333333333334,1.0,0.9090909090909091,5
modules/generated/sklearn.gaussian_process.gaussianprocessregressor.html#sklearn.gaussian_process.gaussianprocessregressor,0.8333333333333334,1.0,0.9090909090909091,5
https://github.com/larsmans,0.8333333333333334,1.0,0.9090909090909091,5
modules/generated/sklearn.utils.estimator_checks.check_estimator.html#sklearn.utils.estimator_checks.check_estimator,0.8333333333333334,1.0,0.9090909090909091,5
generated/sklearn.svm.svr.html#sklearn.svm.svr,0.8333333333333334,1.0,0.9090909090909091,5
modules/generated/sklearn.svm.oneclasssvm.html#sklearn.svm.oneclasssvm,0.8333333333333334,1.0,0.9090909090909091,5
modules/generated/sklearn.linear_model.logisticregression.html#sklearn.linear_model.logisticregression,0.8333333333333334,1.0,0.9090909090909091,5
https://github.com/lorentzenchr,0.8333333333333334,1.0,0.9090909090909091,5
modules/generated/sklearn.preprocessing.quantiletransformer.html#sklearn.preprocessing.quantiletransformer,0.8333333333333334,1.0,0.9090909090909091,5
https://github.com/adrinjalali,1.0,1.0,1.0,5
classes.html#module-sklearn.preprocessing,1.0,1.0,1.0,5
classes.html#module-sklearn.cluster,1.0,1.0,1.0,5
classes.html#module-sklearn.feature_selection,1.0,1.0,1.0,5
https://joelnothman.com/,1.0,1.0,1.0,5
https://github.com/nicolashug,1.0,1.0,1.0,5
https://manojbits.wordpress.com,1.0,1.0,1.0,5
